file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\commonsware\cwac\loaderex\SQLiteCursorLoader.java,com.commonsware.cwac.loaderex.SQLiteCursorLoader$UpdateTask,UpdateTask/1[com.commonsware.cwac.loaderex.SQLiteCursorLoader],true,119,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\commonsware\cwac\loaderex\SQLiteCursorLoader.java,com.commonsware.cwac.loaderex.SQLiteCursorLoader$UpdateTask,doInBackground/1[java.lang.Object[]],false,124,2,0,0,0,1,2,9,1,5,1,2,0,0,0,0,0,1,0,5,5,0,0,0,0,0,18,4,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,setOnTick/1[java.lang.Runnable],false,17,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,start/0,false,29,0,1,1,0,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,setInterval/1[long],false,21,0,1,1,0,2,0,8,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,9,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,stop/0,false,36,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LightweightTimer.java,com.devsmart.android.LightweightTimer,"LightweightTimer/2[java.lang.Runnable,long]",true,12,1,2,0,2,1,2,4,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\demo\src\com\devsmart\demo\HorizontalListViewDemo.java,com.devsmart.demo.HorizontalListViewDemo$Anonymous1$Anonymous2,onClick/1[com.devsmart.demo.View],false,38,2,0,0,0,1,3,6,0,1,1,3,0,0,0,0,0,0,2,0,1,1,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\demo\src\com\devsmart\demo\DemoActivity.java,com.devsmart.demo.DemoActivity,onCreate/1[com.devsmart.demo.Bundle],false,17,7,1,0,1,1,5,15,0,0,1,5,1,1,0,0,0,0,4,0,0,0,0,1,0,0,31,1,0,true
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\demo\src\com\devsmart\demo\DemoActivity.java,com.devsmart.demo.DemoActivity,"setupOnClick/2[com.devsmart.demo.Preference,com.devsmart.demo.Intent]",false,37,3,1,1,0,1,1,9,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,onBind/1[com.devsmart.android.Intent],false,29,3,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,onCreate/0,false,34,1,0,0,0,3,4,13,0,0,0,4,0,0,0,2,0,0,0,4,4,0,1,0,0,0,7,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,onDestroy/0,false,79,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,"isBetterLocation/2[com.devsmart.android.Location,com.devsmart.android.Location]",false,90,2,2,1,1,16,4,30,7,9,2,4,1,1,0,1,0,1,0,4,9,2,1,0,0,0,47,4,0,true
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\LocationService.java,com.devsmart.android.LocationService,"isSameProvider/2[java.lang.String,java.lang.String]",false,133,0,1,1,0,2,1,6,2,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,13,2,0,true
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ServiceBinder.java,com.devsmart.android.ServiceBinder,"ServiceBinder/4[com.devsmart.android.Context,java.lang.Class<? extends com.devsmart.android.Service>,java.lang.Class<? extends com.devsmart.android.IInterface>,java.lang.Runnable]",true,25,2,0,0,0,1,1,8,0,1,4,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ServiceBinder.java,com.devsmart.android.ServiceBinder,unBind/0,false,34,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ServiceBinder.java,com.devsmart.android.ServiceBinder,getServiceInterface/0,false,38,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous1,onLongPress/1[com.devsmart.android.ui.MotionEvent],false,136,4,2,0,2,4,13,13,0,3,1,13,0,0,1,1,0,0,0,1,3,2,3,0,0,0,19,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous1,"onScroll/4[com.devsmart.android.ui.MotionEvent,com.devsmart.android.ui.MotionEvent,float,float]",false,92,1,0,0,0,1,2,5,1,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous1,onDown/1[com.devsmart.android.ui.MotionEvent],false,73,1,1,0,1,1,1,5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous1,onSingleTapConfirmed/1[com.devsmart.android.ui.MotionEvent],false,100,4,2,0,2,4,13,13,1,3,1,13,0,0,1,1,0,0,0,1,3,2,3,0,0,0,20,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous1,"onFling/4[com.devsmart.android.ui.MotionEvent,com.devsmart.android.ui.MotionEvent,float,float]",false,80,1,1,0,1,1,4,7,1,1,4,4,0,0,0,0,0,0,0,6,2,1,0,0,0,0,17,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous1,onSingleTapUp/1[com.devsmart.android.ui.MotionEvent],false,116,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous1,onDoubleTap/1[com.devsmart.android.ui.MotionEvent],false,121,4,1,0,1,4,13,13,1,3,1,13,0,0,1,1,0,0,0,1,3,2,3,0,0,0,19,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous2,run/0,false,218,0,3,0,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$Anonymous3,run/0,false,228,0,3,0,3,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\Utils.java,com.devsmart.android.Utils,log/1[java.lang.String],false,51,1,1,0,1,1,4,4,0,1,1,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,6,9,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\Utils.java,com.devsmart.android.Utils,"logstr/2[java.lang.String,java.lang.StackTraceElement]",false,42,0,2,2,0,1,4,3,1,0,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,10,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\Utils.java,com.devsmart.android.Utils,"logerror/2[java.lang.String,java.lang.Exception]",false,56,1,1,0,1,1,4,4,0,1,2,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,6,9,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\Utils.java,com.devsmart.android.Utils,printCursor/1[com.devsmart.android.Cursor],false,8,1,0,0,0,7,10,28,1,8,1,10,0,0,5,1,0,0,8,9,9,0,3,0,0,0,13,9,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$ViewAdapter,"onTap/3[com.devsmart.android.ui.View,int,int]",false,23,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$ViewAdapter,"onDoubleTap/3[com.devsmart.android.ui.View,int,int]",false,25,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$ViewAdapter,"getView/3[T,com.devsmart.android.ui.View,com.devsmart.android.ui.IteratorListView]",false,21,3,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1025,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView$ViewAdapter,"onLongPress/3[com.devsmart.android.ui.View,int,int]",false,24,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\commonsware\cwac\loaderex\SQLiteCursorLoader.java,com.commonsware.cwac.loaderex.SQLiteCursorLoader$DeleteTask,DeleteTask/1[com.commonsware.cwac.loaderex.SQLiteCursorLoader],true,159,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\commonsware\cwac\loaderex\SQLiteCursorLoader.java,com.commonsware.cwac.loaderex.SQLiteCursorLoader$DeleteTask,doInBackground/1[java.lang.Object[]],false,164,1,0,0,0,1,2,8,1,4,1,2,0,0,0,0,0,1,0,4,4,0,0,0,0,0,15,4,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\ProgressDialogFragment.java,com.devsmart.android.ui.ProgressDialogFragment,ProgressDialogFragment/1[java.lang.String],true,15,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\ProgressDialogFragment.java,com.devsmart.android.ui.ProgressDialogFragment,onCreateDialog/1[com.devsmart.android.ui.Bundle],false,20,3,0,0,0,1,4,7,1,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\ProgressDialogFragment.java,com.devsmart.android.ui.ProgressDialogFragment,showLoadingProgress/1[com.devsmart.android.ui.FragmentManager],false,31,2,2,0,2,1,2,5,0,1,1,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,9,9,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\ProgressDialogFragment.java,com.devsmart.android.ui.ProgressDialogFragment,dismissLoadingProgress/1[com.devsmart.android.ui.FragmentManager],false,37,3,1,1,0,2,4,8,0,2,1,4,0,0,0,1,0,0,1,0,2,0,1,0,0,0,10,9,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\activity\NavigationDelegate.java,com.devsmart.android.activity.NavigationDelegate,onNavigateBack/0,false,5,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\IOUtils.java,com.devsmart.android.IOUtils$DataProgressCallback,onDataProgress/1[int],false,48,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,fillList/1[int],false,209,2,3,1,2,3,6,14,0,2,1,6,2,3,0,2,0,0,0,4,6,1,1,0,0,0,13,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,"fillListRight/2[int,int]",false,227,2,2,1,1,5,6,14,0,1,2,6,1,1,1,1,0,0,0,4,4,4,2,0,0,0,19,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,reset/0,false,136,1,3,2,1,1,3,5,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,34,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,dispatchTouchEvent/1[com.devsmart.android.ui.MotionEvent],false,295,1,0,0,0,1,2,5,1,1,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,"HorizontalListView/2[com.devsmart.android.ui.Context,com.devsmart.android.ui.AttributeSet]",true,64,3,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,setOnItemClickListener/1[AdapterView.OnItemClickListener],false,86,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,setSelection/1[int],false,143,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,"onFling/4[com.devsmart.android.ui.MotionEvent,com.devsmart.android.ui.MotionEvent,float,float]",false,302,1,1,1,0,1,2,7,1,0,4,2,0,0,0,0,0,0,0,5,0,0,1,0,0,0,9,4,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,setOnItemLongClickListener/1[AdapterView.OnItemLongClickListener],false,91,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,getAdapter/0,false,116,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,getSelectedView/0,false,121,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,onDown/1[com.devsmart.android.ui.MotionEvent],false,311,1,1,1,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,setOnItemSelectedListener/1[AdapterView.OnItemSelectedListener],false,81,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,initView/0,false,69,2,3,3,0,1,1,10,0,0,0,1,0,0,0,0,0,0,0,5,8,0,0,0,0,0,17,34,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,removeNonVisibleItems/1[int],false,256,1,1,1,0,5,8,17,0,1,1,8,0,0,2,2,0,0,0,5,5,4,1,0,0,0,21,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,scrollTo/1[int],false,289,0,0,0,0,1,2,4,0,0,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,33,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,"fillListLeft/2[int,int]",false,246,2,2,1,1,3,4,9,0,1,2,4,1,1,1,0,0,0,0,3,3,1,1,0,0,0,16,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,"onLayout/5[boolean,int,int,int,int]",false,161,1,5,0,5,7,11,38,1,3,5,11,4,4,0,1,0,0,0,2,9,1,1,1,0,0,33,36,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,positionItems/1[int],false,276,1,1,1,0,3,6,12,0,4,1,6,0,0,1,0,0,0,0,3,6,2,2,0,0,0,15,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,"addAndMeasureChild/2[com.devsmart.android.ui.View,int]",false,147,2,2,2,0,2,6,8,0,1,2,6,0,0,0,1,0,0,0,0,2,0,1,0,0,0,15,2,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\HorizontalListView.java,com.devsmart.android.ui.HorizontalListView,setAdapter/1[com.devsmart.android.ui.ListAdapter],false,127,2,2,1,1,2,3,8,0,0,1,3,1,2,0,1,0,0,0,0,1,0,1,0,0,0,9,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView,IteratorListView/1[com.devsmart.android.ui.Context],true,42,2,1,0,1,1,1,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
d:\repositorio_git\lab-experimentacao\LAB02\repos\DevsmartLib-Android\devsmartlib\src\com\devsmart\android\ui\IteratorListView.java,com.devsmart.android.ui.IteratorListView,init/0,false,52,2,2,2,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,2,0,false
