nameWithOwner,github_link
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books
sindresorhus/awesome,https://github.com/sindresorhus/awesome
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university
996icu/996.ICU,https://github.com/996icu/996.ICU
public-apis/public-apis,https://github.com/public-apis/public-apis
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x
facebook/react,https://github.com/facebook/react
vuejs/vue,https://github.com/vuejs/vue
vinta/awesome-python,https://github.com/vinta/awesome-python
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes
twbs/bootstrap,https://github.com/twbs/bootstrap
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh
torvalds/linux,https://github.com/torvalds/linux
flutter/flutter,https://github.com/flutter/flutter
github/gitignore,https://github.com/github/gitignore
awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted
microsoft/vscode,https://github.com/microsoft/vscode
Significant-Gravitas/AutoGPT,https://github.com/Significant-Gravitas/AutoGPT
ossu/computer-science,https://github.com/ossu/computer-science
jackfrued/Python-100-Days,https://github.com/jackfrued/Python-100-Days
jlevy/the-art-of-command-line,https://github.com/jlevy/the-art-of-command-line
airbnb/javascript,https://github.com/airbnb/javascript
Snailclimb/JavaGuide,https://github.com/Snailclimb/JavaGuide
ytdl-org/youtube-dl,https://github.com/ytdl-org/youtube-dl
labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm
practical-tutorials/project-based-learning,https://github.com/practical-tutorials/project-based-learning
30-seconds/30-seconds-of-code,https://github.com/30-seconds/30-seconds-of-code
golang/go,https://github.com/golang/go
huggingface/transformers,https://github.com/huggingface/transformers
vercel/next.js,https://github.com/vercel/next.js
facebook/react-native,https://github.com/facebook/react-native
avelino/awesome-go,https://github.com/avelino/awesome-go
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge
electron/electron,https://github.com/electron/electron
d3/d3,https://github.com/d3/d3
AUTOMATIC1111/stable-diffusion-webui,https://github.com/AUTOMATIC1111/stable-diffusion-webui
justjavac/free-programming-books-zh_CN,https://github.com/justjavac/free-programming-books-zh_CN
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes
axios/axios,https://github.com/axios/axios
facebook/create-react-app,https://github.com/facebook/create-react-app
nodejs/node,https://github.com/nodejs/node
microsoft/PowerToys,https://github.com/microsoft/PowerToys
yangshun/tech-interview-handbook,https://github.com/yangshun/tech-interview-handbook
mrdoob/three.js,https://github.com/mrdoob/three.js
microsoft/TypeScript,https://github.com/microsoft/TypeScript
goldbergyoni/nodebestpractices,https://github.com/goldbergyoni/nodebestpractices
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy
denoland/deno,https://github.com/denoland/deno
microsoft/terminal,https://github.com/microsoft/terminal
angular/angular,https://github.com/angular/angular
f/awesome-chatgpt-prompts,https://github.com/f/awesome-chatgpt-prompts
mui/material-ui,https://github.com/mui/material-ui
ant-design/ant-design,https://github.com/ant-design/ant-design
rust-lang/rust,https://github.com/rust-lang/rust
ryanmcdermott/clean-code-javascript,https://github.com/ryanmcdermott/clean-code-javascript
puppeteer/puppeteer,https://github.com/puppeteer/puppeteer
PanJiaChen/vue-element-admin,https://github.com/PanJiaChen/vue-element-admin
iluwatar/java-design-patterns,https://github.com/iluwatar/java-design-patterns
storybookjs/storybook,https://github.com/storybookjs/storybook
nvbn/thefuck,https://github.com/nvbn/thefuck
animate-css/animate.css,https://github.com/animate-css/animate.css
microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love
gothinkster/realworld,https://github.com/gothinkster/realworld
521xueweihan/HelloGitHub,https://github.com/521xueweihan/HelloGitHub
godotengine/godot,https://github.com/godotengine/godot
tensorflow/models,https://github.com/tensorflow/models
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev
laravel/laravel,https://github.com/laravel/laravel
MisterBooo/LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation
django/django,https://github.com/django/django
mtdvio/every-programmer-should-know,https://github.com/mtdvio/every-programmer-should-know
sveltejs/svelte,https://github.com/sveltejs/svelte
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss
tonsky/FiraCode,https://github.com/tonsky/FiraCode
fatedier/frp,https://github.com/fatedier/frp
FortAwesome/Font-Awesome,https://github.com/FortAwesome/Font-Awesome
gin-gonic/gin,https://github.com/gin-gonic/gin
doocs/advanced-java,https://github.com/doocs/advanced-java
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin
opencv/opencv,https://github.com/opencv/opencv
pytorch/pytorch,https://github.com/pytorch/pytorch
nvm-sh/nvm,https://github.com/nvm-sh/nvm
macrozheng/mall,https://github.com/macrozheng/mall
neovim/neovim,https://github.com/neovim/neovim
Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue
gohugoio/hugo,https://github.com/gohugoio/hugo
tauri-apps/tauri,https://github.com/tauri-apps/tauri
iptv-org/iptv,https://github.com/iptv-org/iptv
typicode/json-server,https://github.com/typicode/json-server
florinpop17/app-ideas,https://github.com/florinpop17/app-ideas
langchain-ai/langchain,https://github.com/langchain-ai/langchain
hakimel/reveal.js,https://github.com/hakimel/reveal.js
pallets/flask,https://github.com/pallets/flask
oven-sh/bun,https://github.com/oven-sh/bun
apple/swift,https://github.com/apple/swift
jaywcjlove/awesome-mac,https://github.com/jaywcjlove/awesome-mac
base-org/node,https://github.com/base-org/node
webpack/webpack,https://github.com/webpack/webpack
tiangolo/fastapi,https://github.com/tiangolo/fastapi
home-assistant/core,https://github.com/home-assistant/core
coder/code-server,https://github.com/coder/code-server
Fndroid/clash_for_windows_pkg,https://github.com/Fndroid/clash_for_windows_pkg
expressjs/express,https://github.com/expressjs/express
chartjs/Chart.js,https://github.com/chartjs/Chart.js
mermaid-js/mermaid,https://github.com/mermaid-js/mermaid
redis/redis,https://github.com/redis/redis
protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning
resume/resume.github.com,https://github.com/resume/resume.github.com
Developer-Y/cs-video-courses,https://github.com/Developer-Y/cs-video-courses
CompVis/stable-diffusion,https://github.com/CompVis/stable-diffusion
kdn251/interviews,https://github.com/kdn251/interviews
vitejs/vite,https://github.com/vitejs/vite
nestjs/nest,https://github.com/nestjs/nest
anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats
twitter/the-algorithm,https://github.com/twitter/the-algorithm
reduxjs/redux,https://github.com/reduxjs/redux
atom/atom,https://github.com/atom/atom
keras-team/keras,https://github.com/keras-team/keras
leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts
adam-p/markdown-here,https://github.com/adam-p/markdown-here
socketio/socket.io,https://github.com/socketio/socket.io
angular/angular.js,https://github.com/angular/angular.js
ansible/ansible,https://github.com/ansible/ansible
enaqx/awesome-react,https://github.com/enaqx/awesome-react
xingshaocheng/architect-awesome,https://github.com/xingshaocheng/architect-awesome
bregman-arie/devops-exercises,https://github.com/bregman-arie/devops-exercises
DopplerHQ/awesome-interview-questions,https://github.com/DopplerHQ/awesome-interview-questions
supabase/supabase,https://github.com/supabase/supabase
h5bp/Front-end-Developer-Interview-Questions,https://github.com/h5bp/Front-end-Developer-Interview-Questions
yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp
fighting41love/funNLP,https://github.com/fighting41love/funNLP
kelseyhightower/nocode,https://github.com/kelseyhightower/nocode
jquery/jquery,https://github.com/jquery/jquery
lodash/lodash,https://github.com/lodash/lodash
grafana/grafana,https://github.com/grafana/grafana
MunGell/awesome-for-beginners,https://github.com/MunGell/awesome-for-beginners
shadowsocks/shadowsocks-windows,https://github.com/shadowsocks/shadowsocks-windows
lydiahallie/javascript-questions,https://github.com/lydiahallie/javascript-questions
strapi/strapi,https://github.com/strapi/strapi
apache/echarts,https://github.com/apache/echarts
Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook
excalidraw/excalidraw,https://github.com/excalidraw/excalidraw
awesomedata/awesome-public-datasets,https://github.com/awesomedata/awesome-public-datasets
python/cpython,https://github.com/python/cpython
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn
microsoft/playwright,https://github.com/microsoft/playwright
chrislgarry/Apollo-11,https://github.com/chrislgarry/Apollo-11
hoppscotch/hoppscotch,https://github.com/hoppscotch/hoppscotch
h5bp/html5-boilerplate,https://github.com/h5bp/html5-boilerplate
junegunn/fzf,https://github.com/junegunn/fzf
apache/superset,https://github.com/apache/superset
syncthing/syncthing,https://github.com/syncthing/syncthing
gatsbyjs/gatsby,https://github.com/gatsbyjs/gatsby
TheAlgorithms/Java,https://github.com/TheAlgorithms/Java
3b1b/manim,https://github.com/3b1b/manim
tesseract-ocr/tesseract,https://github.com/tesseract-ocr/tesseract
microsoft/ML-For-Beginners,https://github.com/microsoft/ML-For-Beginners
ElemeFE/element,https://github.com/ElemeFE/element
rails/rails,https://github.com/rails/rails
bradtraversy/design-resources-for-developers,https://github.com/bradtraversy/design-resources-for-developers
ventoy/Ventoy,https://github.com/ventoy/Ventoy
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework
nomic-ai/gpt4all,https://github.com/nomic-ai/gpt4all
sindresorhus/awesome-nodejs,https://github.com/sindresorhus/awesome-nodejs
sdmg15/Best-websites-a-programmer-should-visit,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions
swisskyrepo/PayloadsAllTheThings,https://github.com/swisskyrepo/PayloadsAllTheThings
Eugeny/tabby,https://github.com/Eugeny/tabby
necolas/normalize.css,https://github.com/necolas/normalize.css
remix-run/react-router,https://github.com/remix-run/react-router
Semantic-Org/Semantic-UI,https://github.com/Semantic-Org/Semantic-UI
obsproject/obs-studio,https://github.com/obsproject/obs-studio
psf/requests,https://github.com/psf/requests
caddyserver/caddy,https://github.com/caddyserver/caddy
d2l-ai/d2l-zh,https://github.com/d2l-ai/d2l-zh
fffaraz/awesome-cpp,https://github.com/fffaraz/awesome-cpp
ageitgey/face_recognition,https://github.com/ageitgey/face_recognition
localstack/localstack,https://github.com/localstack/localstack
danielmiessler/SecLists,https://github.com/danielmiessler/SecLists
openai/openai-cookbook,https://github.com/openai/openai-cookbook
alacritty/alacritty,https://github.com/alacritty/alacritty
scrapy/scrapy,https://github.com/scrapy/scrapy
Solido/awesome-flutter,https://github.com/Solido/awesome-flutter
google/material-design-icons,https://github.com/google/material-design-icons
binhnguyennus/awesome-scalability,https://github.com/binhnguyennus/awesome-scalability
rustdesk/rustdesk,https://github.com/rustdesk/rustdesk
facebook/docusaurus,https://github.com/facebook/docusaurus
google/guava,https://github.com/google/guava
soimort/you-get,https://github.com/soimort/you-get
